instrument_type|ticker_symbol|exchange|country|currency|trade_date|execution_time|side|quantity|price_per_unit|gross_amount|commission|tax|net_amount|client_pid|client_name|client_lastname|client_origin|transaction_type|channel|created_at|updated_at
ETF|BABA|NYSE|Portugal|EUR|2024-02-06|2024-02-06 11:21:03|B|38.974|1323.7313|51591.1|142.5755|1031.822|50371.06|822290377831|Jessica|King|Latvia|EACH_PRICE|BROKER|2026-01-19 13:07:54.035449|2026-01-19 13:07:54.035449
ETF|TSLA|NYSE|Nicaragua|JPY|2024-02-19|2024-02-19 21:48:18|S|267.7114|57.3693|15358.42|70.4244|307.1684|14971.37|651852075272|Amanda|Underwood|Turkmenistan|MARKET_PRICE|MOBILE|2026-01-19 13:07:54.035599|2026-01-19 13:07:54.035600
ETF|MSFT|NASDAQ|Greece|GBP|2024-08-20|2024-08-20 17:01:00|B|307.5182|310.1153|95366.1|309.6837|1907.322|93057.63|550452223562|Laura|Williams|Indonesia|STOP_LOSS|MOBILE|2026-01-19 13:07:54.035746|2026-01-19 13:07:54.035747
STOCK|NVDA|JPX|El Salvador|GBP|2023-03-30|2023-03-30 11:46:42|S|82.3347|1055.0678|86868.69|432.0023|1737.3738|84678.94|679955263737|Phillip|Burnett|American Samoa|STOP_LIMIT|MOBILE|2026-01-19 13:07:54.035891|2026-01-19 13:07:54.035892
ETF|NFLX|LSE|Mayotte|JPY|2023-02-25|2023-02-25 08:59:35|B|242.1947|135.2406|32754.56|109.2237|655.0912|31983.58|581034835884|Tiffany|Rivera|Bhutan|EACH_PRICE|WEB|2026-01-19 13:07:54.036040|2026-01-19 13:07:54.036041
ETF|TSLA|LSE|Tuvalu|JPY|2024-11-20|2024-11-20 14:23:00|B|174.5932|1487.2673|259666.76|967.8531|5193.3352|253442.54|201665454765|Kevin|Brown|Nicaragua|EACH_PRICE|WEB|2026-01-19 13:07:54.036192|2026-01-19 13:07:54.036192
STOCK|AAPL|NYSE|Mauritania|JPY|2024-08-09|2024-08-09 05:04:46|B|175.9223|1436.6517|252739.07|1112.5272|5054.7814|246399.5|212122464297|Stephanie|Mcbride|Vanuatu|STOP_LOSS|WEB|2026-01-19 13:07:54.036339|2026-01-19 13:07:54.036340
ETF|NFLX|NYSE|Ukraine|GBP|2023-07-14|2023-07-14 08:42:30|S|95.4595|429.2156|40972.71|130.1926|819.4542|39996.01|843825823978|Daniel|Booth|Holy See (Vatican City State)|EACH_PRICE|BROKER|2026-01-19 13:07:54.036489|2026-01-19 13:07:54.036489
STOCK|AMZN|JPX|Netherlands Antilles|JPY|2024-10-04|2024-10-04 09:36:43|S|264.2047|904.1564|238882.37|538.4293|4777.6474|233332.72|229999958098|Brenda|Sutton|United States Minor Outlying Islands|STOP_LIMIT|API|2026-01-19 13:07:54.036636|2026-01-19 13:07:54.036637
ETF|TSLA|NASDAQ|Croatia|GBP|2023-03-01|2023-03-01 16:06:16|S|178.9566|1161.1154|207789.26|745.6865|4155.7852|202763.82|509573855806|Lisa|Johnson|Tokelau|STOP_LIMIT|WEB|2026-01-19 13:07:54.036783|2026-01-19 13:07:54.036783
ETF|TSLA|JPX|Namibia|GBP|2024-04-03|2024-04-03 16:18:54|B|470.3125|395.6618|186084.69|741.6057|3721.6938|181547.69|450100905700|Jason|Cummings|Albania|EACH_PRICE|API|2026-01-19 13:07:54.036940|2026-01-19 13:07:54.036941
STOCK|GOOGL|LSE|Algeria|JPY|2023-11-07|2023-11-07 06:49:30|B|13.2804|1296.2031|17214.1|62.8219|344.282|16796.88|252275372079|Mark|Evans|Sri Lanka|EACH_PRICE|BROKER|2026-01-19 13:07:54.037082|2026-01-19 13:07:54.037083
STOCK|NVDA|XETRA|Cambodia|JPY|2024-11-30|2024-11-30 19:44:37|B|174.9643|975.3579|170652.81|663.5473|3413.0562|166444.33|885239067274|Joseph|Blankenship|Ireland|EACH_PRICE|WEB|2026-01-19 13:07:54.037265|2026-01-19 13:07:54.037266
STOCK|BABA|LSE|Bouvet Island (Bouvetoya)|JPY|2024-07-06|2024-07-06 22:48:24|S|430.2731|1239.6681|533395.84|498.3864|10667.9168|521736.96|205718586845|David|Dodson|Poland|MARKET_PRICE|MOBILE|2026-01-19 13:07:54.037412|2026-01-19 13:07:54.037413
STOCK|AAPL|NYSE|Georgia|GBP|2023-02-12|2023-02-12 02:22:11|S|5.4902|1066.5008|5855.3|3.3266|117.106|5733.85|345284959586|Alexis|Montoya|Norway|MARKET_PRICE|BROKER|2026-01-19 13:07:54.037559|2026-01-19 13:07:54.037559
STOCK|AAPL|LSE|Yemen|GBP|2023-11-24|2023-11-24 04:05:12|B|220.9546|876.6443|193698.59|866.7196|3873.9718|188899.69|794888541075|Aaron|Smith|Falkland Islands (Malvinas)|STOP_LOSS|API|2026-01-19 13:07:54.037708|2026-01-19 13:07:54.037708
ETF|META|NASDAQ|Saudi Arabia|GBP|2023-10-08|2023-10-08 13:18:41|B|284.3482|405.628|115339.59|454.0218|2306.7918|112555.72|527645610508|Michael|Schmitt|Antarctica (the territory South of 60 deg S)|LIMIT|WEB|2026-01-19 13:07:54.037898|2026-01-19 13:07:54.037899
ETF|TSLA|NYSE|Liechtenstein|USD|2023-12-18|2023-12-18 16:14:21|S|22.7619|567.479|12916.9|56.9452|258.338|12589.16|855647715597|Travis|Haynes|Brazil|LIMIT|BROKER|2026-01-19 13:07:54.038160|2026-01-19 13:07:54.038162
STOCK|TSLA|LSE|Gibraltar|USD|2024-11-04|2024-11-04 12:03:45|S|433.392|860.0171|372724.53|827.1746|7454.4906|364287.9|780071510543|John|Anderson|Sierra Leone|STOP_LOSS|WEB|2026-01-19 13:07:54.038344|2026-01-19 13:07:54.038345
ETF|GOOGL|NYSE|Liberia|EUR|2024-07-21|2024-07-21 10:26:04|S|241.5783|56.1281|13559.33|44.1088|271.1866|13241.57|888308869598|Lauren|Grimes|Gambia|STOP_LIMIT|BROKER|2026-01-19 13:07:54.038509|2026-01-19 13:07:54.038510
STOCK|NVDA|NYSE|Kuwait|JPY|2024-01-15|2024-01-15 10:20:39|B|195.5752|1175.2625|229852.2|768.1362|4597.044|224361.74|594812742432|Clifford|Garrett|Portugal|EACH_PRICE|API|2026-01-19 13:07:54.038679|2026-01-19 13:07:54.038679
STOCK|TSLA|XETRA|Mauritania|JPY|2023-04-18|2023-04-18 06:36:17|B|454.8645|79.5093|36165.96|177.6374|723.3192|35260.62|956571526139|Ricky|Perez|Norfolk Island|LIMIT|API|2026-01-19 13:07:54.038888|2026-01-19 13:07:54.038890
STOCK|META|NASDAQ|Azerbaijan|JPY|2024-10-29|2024-10-29 02:28:15|S|367.1116|1470.5278|539847.81|2432.1988|10796.9562|526322.34|670900564274|James|Mcintyre|Svalbard & Jan Mayen Islands|STOP_LOSS|API|2026-01-19 13:07:54.039226|2026-01-19 13:07:54.039228
STOCK|MSFT|NASDAQ|Kenya|JPY|2023-01-07|2023-01-07 04:25:56|S|368.0009|1214.5916|446970.8|1833.8433|8939.416|436012.92|439824515381|Latasha|Liu|South Africa|STOP_LIMIT|WEB|2026-01-19 13:07:54.039453|2026-01-19 13:07:54.039455
ETF|NFLX|NASDAQ|Gibraltar|JPY|2024-04-21|2024-04-21 03:59:29|B|484.4213|1088.4461|527266.47|2564.5272|10545.3294|513633.8|636880558729|Thomas|Merritt|Indonesia|STOP_LIMIT|BROKER|2026-01-19 13:07:54.039619|2026-01-19 13:07:54.039620
ETF|NVDA|XETRA|Mongolia|EUR|2023-12-27|2023-12-27 08:11:35|S|458.5792|1056.004|484261.47|2054.5466|9685.2294|472065.99|719023826906|Brianna|Riley|Djibouti|EACH_PRICE|BROKER|2026-01-19 13:07:54.039769|2026-01-19 13:07:54.039770
STOCK|NFLX|NASDAQ|Guam|GBP|2023-08-25|2023-08-25 21:12:45|B|73.044|1489.5844|108805.2|276.8345|2176.104|106255.58|699194545377|Troy|Bentley|Mozambique|MARKET_PRICE|BROKER|2026-01-19 13:07:54.039915|2026-01-19 13:07:54.039916
ETF|NFLX|NASDAQ|Saint Vincent and the Grenadines|EUR|2024-03-27|2024-03-27 06:06:29|B|192.3395|251.6548|48403.16|224.4854|968.0632|47200.38|515265994335|Michael|Phillips|Syrian Arab Republic|STOP_LIMIT|API|2026-01-19 13:07:54.040061|2026-01-19 13:07:54.040062
STOCK|NVDA|XETRA|Turkey|JPY|2024-03-23|2024-03-23 10:28:56|S|466.4514|1306.5138|609425.19|1873.7644|12188.5038|595160.1|480575832118|Natasha|Pineda|French Southern Territories|LIMIT|API|2026-01-19 13:07:54.040204|2026-01-19 13:07:54.040204
STOCK|GOOGL|LSE|Malaysia|JPY|2023-02-24|2023-02-24 06:26:07|B|73.5846|615.6939|45305.59|58.5427|906.1118|44330.07|731971848802|Anna|Terry|India|EACH_PRICE|BROKER|2026-01-19 13:07:54.040346|2026-01-19 13:07:54.040347
ETF|BABA|NYSE|Saint Lucia|EUR|2024-08-12|2024-08-12 15:15:21|S|40.8582|1287.3739|52599.78|225.5804|1051.9956|51277.56|750664587037|Jose|Hamilton|Luxembourg|MARKET_PRICE|WEB|2026-01-19 13:07:54.040493|2026-01-19 13:07:54.040493
STOCK|BABA|XETRA|Saint Martin|JPY|2024-06-04|2024-06-04 05:54:09|S|90.6698|403.6687|36600.56|174.9937|732.0112|35677.0|293531696422|Lori|Bush|Czech Republic|STOP_LIMIT|MOBILE|2026-01-19 13:07:54.040637|2026-01-19 13:07:54.040637
STOCK|MSFT|NASDAQ|Peru|JPY|2023-06-03|2023-06-03 14:02:20|B|151.4811|725.135|109844.25|172.4956|2196.885|107401.63|961531471071|Peter|Green|New Caledonia|EACH_PRICE|BROKER|2026-01-19 13:07:54.040779|2026-01-19 13:07:54.040780
STOCK|AAPL|NASDAQ|Bouvet Island (Bouvetoya)|EUR|2023-02-14|2023-02-14 21:42:48|S|93.8366|1291.516|121191.47|322.4377|2423.8294|118424.16|136068997344|Paul|Hendricks|Korea|LIMIT|MOBILE|2026-01-19 13:07:54.040926|2026-01-19 13:07:54.040927
ETF|AAPL|JPX|Austria|GBP|2023-09-20|2023-09-20 18:01:28|S|247.9571|499.0669|123747.18|119.0271|2474.9436|121127.76|229251706774|Kayla|Brown|Bouvet Island (Bouvetoya)|MARKET_PRICE|API|2026-01-19 13:07:54.041067|2026-01-19 13:07:54.041068
ETF|BABA|NASDAQ|French Polynesia|JPY|2023-04-29|2023-04-29 01:02:25|B|308.5098|756.0668|233254.02|749.3229|4665.0804|227629.88|229219932184|George|Howard|Saudi Arabia|MARKET_PRICE|BROKER|2026-01-19 13:07:54.041208|2026-01-19 13:07:54.041209
STOCK|NFLX|NYSE|French Guiana|EUR|2023-01-19|2023-01-19 22:22:14|S|385.0487|1412.3578|543826.53|2430.8183|10876.5306|530077.93|138607452208|David|Wagner|Iran|STOP_LIMIT|WEB|2026-01-19 13:07:54.041351|2026-01-19 13:07:54.041352
STOCK|GOOGL|NYSE|Palau|EUR|2024-01-03|2024-01-03 17:10:26|B|85.3088|1425.8098|121634.12|567.0783|2432.6824|118568.65|965062847209|Jane|Moreno|Guadeloupe|MARKET_PRICE|WEB|2026-01-19 13:07:54.041496|2026-01-19 13:07:54.041497
STOCK|GOOGL|NASDAQ|Burkina Faso|EUR|2023-05-08|2023-05-08 23:30:31|B|60.192|1292.8113|77816.9|72.8546|1556.338|76168.54|751622217832|Joseph|Huang|South Georgia and the South Sandwich Islands|STOP_LIMIT|API|2026-01-19 13:07:54.041639|2026-01-19 13:07:54.041640
STOCK|AAPL|JPX|United States Virgin Islands|JPY|2024-08-06|2024-08-06 05:49:24|B|242.7444|1027.379|249390.5|720.418|4987.81|243632.64|884219100341|Lisa|Nunez|Monaco|LIMIT|WEB|2026-01-19 13:07:54.041786|2026-01-19 13:07:54.041787
STOCK|TSLA|LSE|Niue|GBP|2024-01-19|2024-01-19 21:40:23|B|154.4807|789.8307|122013.6|197.0415|2440.272|119259.29|553175708631|Michael|Woods|Taiwan|LIMIT|WEB|2026-01-19 13:07:54.041931|2026-01-19 13:07:54.041931
ETF|META|JPX|Solomon Islands|USD|2024-09-15|2024-09-15 07:28:13|S|456.1056|1026.5691|468223.92|485.8492|9364.4784|458190.36|870109646637|Angela|Simpson|Netherlands Antilles|EACH_PRICE|BROKER|2026-01-19 13:07:54.042080|2026-01-19 13:07:54.042081
ETF|META|JPX|Liechtenstein|JPY|2023-06-03|2023-06-03 19:53:01|S|124.8747|341.9866|42705.47|41.2043|854.1094|41802.08|142481150299|Marcus|Estes|Cote d'Ivoire|LIMIT|API|2026-01-19 13:07:54.042224|2026-01-19 13:07:54.042225
ETF|NFLX|NASDAQ|Montenegro|USD|2023-01-14|2023-01-14 02:31:55|S|190.4251|1070.8921|203924.74|965.1404|4078.4948|198755.67|120318825659|Bryan|Herman|Sierra Leone|STOP_LOSS|MOBILE|2026-01-19 13:07:54.042406|2026-01-19 13:07:54.042407
STOCK|AMZN|XETRA|Serbia|JPY|2024-07-09|2024-07-09 16:58:04|B|99.208|742.335|73645.57|106.6763|1472.9114|72035.28|640309702632|Larry|Schneider|Syrian Arab Republic|LIMIT|MOBILE|2026-01-19 13:07:54.042550|2026-01-19 13:07:54.042550
STOCK|BABA|JPX|Singapore|GBP|2023-09-25|2023-09-25 06:59:19|B|195.3823|868.3|169650.45|621.6972|3393.009|165585.5|373243692494|Denise|Hansen|Gabon|LIMIT|API|2026-01-19 13:07:54.042691|2026-01-19 13:07:54.042692
ETF|META|XETRA|Cameroon|JPY|2024-03-17|2024-03-17 01:58:34|B|8.2648|1109.3318|9168.41|30.1259|183.3682|8946.46|746185002864|Michael|Wilson|Hungary|MARKET_PRICE|MOBILE|2026-01-19 13:07:54.042834|2026-01-19 13:07:54.042835
ETF|NVDA|LSE|Gibraltar|USD|2023-08-15|2023-08-15 04:20:47|B|29.3049|729.5616|21379.73|10.9396|427.5946|20932.51|490298155072|Melissa|Bell|Australia|STOP_LOSS|MOBILE|2026-01-19 13:07:54.042976|2026-01-19 13:07:54.042977
STOCK|GOOGL|LSE|Monaco|JPY|2024-09-24|2024-09-24 05:32:09|B|121.4867|943.8713|114667.81|67.4617|2293.3562|112268.17|468208856705|Joshua|Hansen|Cocos (Keeling) Islands|STOP_LOSS|MOBILE|2026-01-19 13:07:54.043157|2026-01-19 13:07:54.043158
ETF|GOOGL|XETRA|Congo|EUR|2023-04-21|2023-04-21 19:22:08|B|35.633|1204.5337|42921.15|59.9153|858.423|41964.74|879848646982|Sheri|Lewis|Turkey|LIMIT|WEB|2026-01-19 13:07:54.043300|2026-01-19 13:07:54.043301
ETF|AAPL|XETRA|Saint Pierre and Miquelon|USD|2023-10-06|2023-10-06 16:52:09|S|64.0224|358.3857|22944.71|47.1326|458.8942|22419.91|378638711824|Jason|Harris|Tanzania|STOP_LIMIT|API|2026-01-19 13:07:54.043456|2026-01-19 13:07:54.043457
ETF|META|LSE|India|GBP|2023-02-10|2023-02-10 08:54:33|B|12.5313|506.2179|6343.57|25.1981|126.8714|6187.3|439808688597|Gabrielle|Martinez|Morocco|EACH_PRICE|MOBILE|2026-01-19 13:07:54.043614|2026-01-19 13:07:54.043615
STOCK|NVDA|NASDAQ|Serbia|JPY|2023-08-23|2023-08-23 12:06:47|B|37.319|821.5699|30660.17|61.4718|613.2034|29971.05|467678725015|Alexis|Reyes|Isle of Man|MARKET_PRICE|API|2026-01-19 13:07:54.043755|2026-01-19 13:07:54.043755
STOCK|TSLA|NYSE|Djibouti|JPY|2024-10-25|2024-10-25 23:52:56|B|437.1494|935.6137|409002.97|1390.2404|8180.0594|399197.72|726386935815|Dustin|Cunningham|United States Virgin Islands|STOP_LIMIT|BROKER|2026-01-19 13:07:54.043896|2026-01-19 13:07:54.043896
ETF|AMZN|LSE|Zambia|EUR|2024-06-18|2024-06-18 18:05:13|B|327.5406|53.7461|17604.03|78.5379|352.0806|17161.63|991904801860|Lisa|Mcbride|Spain|LIMIT|WEB|2026-01-19 13:07:54.044037|2026-01-19 13:07:54.044037
ETF|META|JPX|Cocos (Keeling) Islands|GBP|2024-08-26|2024-08-26 21:57:33|B|284.1089|886.455|251849.75|289.5358|5036.995|246456.07|440655368686|Kimberly|Miller|Sudan|STOP_LIMIT|MOBILE|2026-01-19 13:07:54.044182|2026-01-19 13:07:54.044183
ETF|META|JPX|Georgia|JPY|2024-06-23|2024-06-23 06:53:22|S|227.5342|303.7618|69116.2|81.967|1382.324|67596.35|907074159184|Jessica|Morrow|Lithuania|LIMIT|API|2026-01-19 13:07:54.044327|2026-01-19 13:07:54.044328
STOCK|MSFT|NYSE|Latvia|GBP|2024-12-05|2024-12-05 22:31:53|S|146.9505|753.174|110679.3|401.4337|2213.586|107959.85|513772252523|Sara|Ponce|Trinidad and Tobago|STOP_LIMIT|BROKER|2026-01-19 13:07:54.044471|2026-01-19 13:07:54.044472
ETF|AMZN|XETRA|Finland|EUR|2023-06-16|2023-06-16 02:02:55|B|345.7513|216.6916|74921.4|347.9801|1498.428|73026.2|510244162503|Juan|Garcia|Senegal|MARKET_PRICE|WEB|2026-01-19 13:07:54.044612|2026-01-19 13:07:54.044612
STOCK|MSFT|XETRA|Nigeria|USD|2024-10-01|2024-10-01 00:51:23|B|498.6508|968.8707|483128.15|1524.7999|9662.563|471583.62|743851044558|Kimberly|Morris|Namibia|LIMIT|MOBILE|2026-01-19 13:07:54.044754|2026-01-19 13:07:54.044755
STOCK|AAPL|NASDAQ|North Macedonia|GBP|2023-05-31|2023-05-31 23:44:22|S|264.7405|886.6579|234734.26|618.7206|4694.6852|229187.82|517242657508|Brandon|Cook|Lao People's Democratic Republic|STOP_LOSS|BROKER|2026-01-19 13:07:54.044915|2026-01-19 13:07:54.044916
STOCK|NVDA|NYSE|Costa Rica|EUR|2024-08-21|2024-08-21 21:08:17|S|293.4665|1180.7185|346501.33|342.5951|6930.0266|338958.78|831230097027|Heidi|Munoz|Palau|EACH_PRICE|MOBILE|2026-01-19 13:07:54.045071|2026-01-19 13:07:54.045072
STOCK|NVDA|JPX|Isle of Man|EUR|2024-04-26|2024-04-26 16:16:54|B|259.9645|803.7263|208940.31|599.5178|4178.8062|204130.46|452985329724|Christopher|King|Palestinian Territory|LIMIT|MOBILE|2026-01-19 13:07:54.045237|2026-01-19 13:07:54.045238
ETF|NFLX|LSE|Greece|USD|2023-07-10|2023-07-10 11:01:25|S|52.0457|850.668|44273.61|187.1483|885.4722|43173.22|733439372869|Michael|Zimmerman|Uganda|STOP_LOSS|API|2026-01-19 13:07:54.045382|2026-01-19 13:07:54.045383
ETF|AMZN|JPX|Guinea-Bissau|EUR|2024-12-17|2024-12-17 08:42:37|S|131.6936|445.2996|58643.11|57.8031|1172.8622|57366.12|944654923515|Margaret|Tanner|Guadeloupe|EACH_PRICE|BROKER|2026-01-19 13:07:54.045525|2026-01-19 13:07:54.045526
STOCK|AMZN|NYSE|Switzerland|EUR|2023-02-19|2023-02-19 20:46:32|B|129.5827|1398.2529|181189.39|234.7519|3623.7878|177294.19|565274398051|Patrick|Kelly|Monaco|STOP_LIMIT|WEB|2026-01-19 13:07:54.045681|2026-01-19 13:07:54.045681
STOCK|META|NYSE|Austria|EUR|2023-01-06|2023-01-06 01:49:54|B|59.6488|1005.4314|59972.78|179.9841|1199.4556|58567.6|609797419228|Miranda|Soto|Macao|EACH_PRICE|MOBILE|2026-01-19 13:07:54.045824|2026-01-19 13:07:54.045825
ETF|BABA|LSE|Kyrgyz Republic|GBP|2024-01-09|2024-01-09 04:20:34|B|211.4159|1215.1857|256909.58|910.2499|5138.1916|250771.49|575589278839|Teresa|Taylor|Russian Federation|STOP_LOSS|BROKER|2026-01-19 13:07:54.045969|2026-01-19 13:07:54.045970
STOCK|BABA|LSE|Chile|EUR|2024-03-19|2024-03-19 10:08:24|B|181.1838|1496.5673|271153.75|308.7062|5423.075|265324.44|518703131601|Joanne|Lopez|Barbados|STOP_LOSS|API|2026-01-19 13:07:54.046111|2026-01-19 13:07:54.046112
ETF|NVDA|NASDAQ|Qatar|EUR|2024-07-05|2024-07-05 13:34:21|B|306.1498|981.7028|300548.12|986.7014|6010.9624|293497.38|111560985801|Rebecca|James|Guyana|MARKET_PRICE|MOBILE|2026-01-19 13:07:54.046252|2026-01-19 13:07:54.046252
STOCK|BABA|LSE|Kenya|EUR|2024-12-27|2024-12-27 12:15:48|B|498.8537|939.5399|468692.96|772.9603|9373.8592|458291.89|828077733625|Michael|Miller|Guadeloupe|MARKET_PRICE|BROKER|2026-01-19 13:07:54.046393|2026-01-19 13:07:54.046394
STOCK|TSLA|XETRA|Timor-Leste|USD|2023-05-20|2023-05-20 08:18:55|S|461.2369|1000.2095|461333.53|1096.5647|9226.6706|450801.05|739503536910|Raymond|Love|North Macedonia|EACH_PRICE|API|2026-01-19 13:07:54.046539|2026-01-19 13:07:54.046540
STOCK|TSLA|XETRA|South Georgia and the South Sandwich Islands|JPY|2024-05-27|2024-05-27 19:08:25|B|58.9673|82.2224|4848.43|18.1406|96.9686|4730.43|763994348178|Tracy|Miller|Malawi|STOP_LIMIT|API|2026-01-19 13:07:54.046683|2026-01-19 13:07:54.046684
ETF|NFLX|JPX|Algeria|GBP|2024-03-14|2024-03-14 14:29:48|S|447.3607|997.7424|446350.74|2089.6475|8927.0148|435111.73|365472029358|William|Oneal|Cook Islands|EACH_PRICE|BROKER|2026-01-19 13:07:54.046826|2026-01-19 13:07:54.046827
STOCK|AMZN|NYSE|Trinidad and Tobago|GBP|2023-07-25|2023-07-25 01:57:10|S|273.8815|689.3105|188789.39|873.3256|3775.7878|183975.96|504337719901|Jennifer|Thomas|American Samoa|MARKET_PRICE|MOBILE|2026-01-19 13:07:54.046969|2026-01-19 13:07:54.046970
ETF|TSLA|NASDAQ|Svalbard & Jan Mayen Islands|EUR|2023-01-08|2023-01-08 19:41:29|S|239.2922|951.6098|227712.8|1100.7576|4554.256|221848.83|178431888223|Jennifer|Neal|Jordan|LIMIT|API|2026-01-19 13:07:54.047133|2026-01-19 13:07:54.047134
STOCK|AMZN|XETRA|Guinea-Bissau|EUR|2023-09-20|2023-09-20 13:04:05|S|396.5825|49.6077|19673.55|81.8034|393.471|19184.43|344922631751|Marc|Villarreal|Dominican Republic|LIMIT|MOBILE|2026-01-19 13:07:54.047286|2026-01-19 13:07:54.047287
STOCK|NFLX|NYSE|Tunisia|EUR|2023-08-13|2023-08-13 12:32:48|S|183.3121|47.2638|8664.03|33.6978|173.2806|8452.27|180076243189|Christine|Wright|Martinique|LIMIT|BROKER|2026-01-19 13:07:54.047442|2026-01-19 13:07:54.047443
ETF|NVDA|JPX|Barbados|GBP|2024-04-09|2024-04-09 08:16:51|B|136.2279|957.4164|130426.83|442.7482|2608.5366|127330.75|225027957482|Johnny|Ramirez|Armenia|MARKET_PRICE|WEB|2026-01-19 13:07:54.047585|2026-01-19 13:07:54.047586
ETF|META|LSE|New Zealand|USD|2023-05-19|2023-05-19 14:41:42|S|474.3101|21.6579|10272.56|12.3866|205.4512|10046.59|407991039695|Kevin|Webster|Yemen|MARKET_PRICE|BROKER|2026-01-19 13:07:54.047726|2026-01-19 13:07:54.047727
ETF|NVDA|NASDAQ|Czech Republic|JPY|2024-08-07|2024-08-07 21:22:58|S|340.9608|203.2373|69295.95|101.6687|1385.919|67789.3|115572900164|Donald|Chang|Maldives|LIMIT|WEB|2026-01-19 13:07:54.047866|2026-01-19 13:07:54.047867
ETF|BABA|NASDAQ|Puerto Rico|EUR|2024-09-12|2024-09-12 12:17:42|S|443.7732|778.4664|345462.53|291.0578|6909.2506|338216.6|450610907453|Amanda|Clark|Estonia|STOP_LOSS|MOBILE|2026-01-19 13:07:54.048008|2026-01-19 13:07:54.048008
STOCK|NVDA|JPX|Holy See (Vatican City State)|USD|2024-05-24|2024-05-24 21:16:14|B|92.6118|483.6806|44794.53|151.5937|895.8906|43727.15|877911443327|Christopher|Mathis|Heard Island and McDonald Islands|STOP_LIMIT|BROKER|2026-01-19 13:07:54.048147|2026-01-19 13:07:54.048148
STOCK|TSLA|LSE|Austria|EUR|2024-11-25|2024-11-25 20:52:08|B|11.2545|581.1639|6540.71|27.4578|130.8142|6376.64|187569107989|Brandy|Harris|El Salvador|LIMIT|WEB|2026-01-19 13:07:54.048288|2026-01-19 13:07:54.048289
STOCK|AMZN|LSE|Saint Martin|JPY|2023-06-05|2023-06-05 20:01:44|S|78.45|795.8548|62434.81|156.6643|1248.6962|60973.29|310367121130|Juan|Kelly|Thailand|STOP_LOSS|API|2026-01-19 13:07:54.048428|2026-01-19 13:07:54.048429
ETF|META|LSE|Guatemala|USD|2023-02-22|2023-02-22 12:33:27|B|298.3812|1122.1212|334819.87|851.9816|6696.3974|327138.41|413873259238|Jeffrey|White|Liechtenstein|EACH_PRICE|BROKER|2026-01-19 13:07:54.048568|2026-01-19 13:07:54.048569
ETF|NFLX|JPX|Iraq|USD|2024-12-10|2024-12-10 09:42:21|B|267.2556|1444.9825|386179.67|376.5255|7723.5934|377756.63|550572939904|Jacqueline|Bailey|Aruba|MARKET_PRICE|API|2026-01-19 13:07:54.048709|2026-01-19 13:07:54.048709
ETF|BABA|XETRA|Lebanon|EUR|2023-07-02|2023-07-02 19:08:38|S|439.5693|433.4304|190522.7|856.609|3810.454|185823.13|602908663649|Donald|Vargas|Benin|MARKET_PRICE|API|2026-01-19 13:07:54.048850|2026-01-19 13:07:54.048850
STOCK|BABA|NASDAQ|Sao Tome and Principe|JPY|2023-02-16|2023-02-16 02:23:24|B|145.5015|1221.0631|177666.51|546.9365|3553.3302|173514.37|504062274103|Brianna|Herrera|Montenegro|EACH_PRICE|BROKER|2026-01-19 13:07:54.048994|2026-01-19 13:07:54.048994
ETF|AAPL|LSE|Tunisia|EUR|2023-06-24|2023-06-24 09:10:13|B|399.8365|773.9198|309441.38|1068.5436|6188.8276|302089.74|925193250314|Nicole|Baker|Palau|EACH_PRICE|WEB|2026-01-19 13:07:54.049134|2026-01-19 13:07:54.049135
STOCK|AMZN|XETRA|Armenia|JPY|2023-04-10|2023-04-10 17:40:31|B|315.3471|900.5168|283975.36|1012.9298|5679.5072|277046.95|959636338677|Ryan|Ballard|Marshall Islands|STOP_LOSS|MOBILE|2026-01-19 13:07:54.049277|2026-01-19 13:07:54.049278
STOCK|BABA|XETRA|Equatorial Guinea|EUR|2023-11-23|2023-11-23 11:21:44|B|219.9845|412.4854|90740.39|184.2338|1814.8078|88669.08|162387010560|Michael|Conner|Equatorial Guinea|STOP_LIMIT|API|2026-01-19 13:07:54.049427|2026-01-19 13:07:54.049428
STOCK|BABA|LSE|Andorra|GBP|2024-03-28|2024-03-28 17:20:00|S|121.9435|1157.3228|141127.99|410.7868|2822.5598|137879.28|220766042353|Carlos|Wright|Mexico|MARKET_PRICE|MOBILE|2026-01-19 13:07:54.049584|2026-01-19 13:07:54.049585
ETF|TSLA|NYSE|Tanzania|GBP|2023-10-11|2023-10-11 13:07:09|S|397.9707|478.4358|190403.43|509.2773|3808.0686|185995.77|683438620267|Jodi|Stewart|Barbados|EACH_PRICE|MOBILE|2026-01-19 13:07:54.049727|2026-01-19 13:07:54.049728
STOCK|GOOGL|NYSE|Bosnia and Herzegovina|JPY|2024-10-30|2024-10-30 15:16:38|B|343.1608|1070.1231|367224.3|1313.8455|7344.486|358315.72|239099739709|Laura|Garcia|Cocos (Keeling) Islands|LIMIT|MOBILE|2026-01-19 13:07:54.049867|2026-01-19 13:07:54.049868
STOCK|META|XETRA|Kuwait|JPY|2023-07-02|2023-07-02 12:44:08|S|166.4675|315.192|52469.22|230.7681|1049.3844|51163.07|383060851133|Kristopher|Bishop|Niue|STOP_LOSS|MOBILE|2026-01-19 13:07:54.050009|2026-01-19 13:07:54.050010
